Platform,Segment,Type,Keyword,Country,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date,Branded,Local,Navigational,Informational,Commercial,Transactional
Fortinet,Informational + Branded,Gain,fortinet support,US,"Knowledge panel, Sitelinks, People also ask, Video preview",3000,16,0.96,2456,4899,2443,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-28 11:38:05,2025-07-20 5:06:49,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,ติดตั้ง fortigate,US,"AI Overview, Thumbnail, Featured snippet, Video preview, Sitelinks, People also ask",8200,0,,647,1066,420,0,7,4,3,,https://community.fortinet.com/t5/FortiGate/Technical-Tip-Install-FortiGate-VM-on-Hyper-V-and-apply/ta-p/333826,,https://www.fortinet.com/support/product-downloads,2025-01-29 22:56:30,2025-07-27 20:51:29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,fortinet stock,US,"Sitelinks, Knowledge panel, People also ask, Video preview",15000,14,0.53,629,967,338,0,4,2,2,,https://investor.fortinet.com/stock-information,,https://investor.fortinet.com/stock-information,2025-01-28 20:32:21,2025-07-29 5:59:57,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,fortigate firewall,US,"Sitelinks, People also ask, Shopping, Thumbnail, Video preview, Top stories",1700,9,2.43,680,922,241,0,1,1,,,https://www.fortinet.com/products/next-generation-firewall,,https://www.fortinet.com/products/next-generation-firewall,2025-01-29 22:51:48,2025-07-26 14:03:40,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Gain,fortinet breach,US,Video preview,500,19,0.11,100,304,204,0,2,1,1,,https://www.fortinet.com/blog/business-and-technology/notice-of-recent-security-incident,,https://www.fortinet.com/blog/business-and-technology/notice-of-recent-security-incident,2025-01-26 14:39:06,2025-07-23 8:28:28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,fortinet earnings,US,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",700,4,0.35,240,391,151,0,2,1,1,,https://investor.fortinet.com/quarterly-earnings,,https://investor.fortinet.com/quarterly-earnings,2025-01-25 10:35:16,2025-07-26 13:37:54,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,fortiswitch,US,"Sitelinks, People also ask, Knowledge panel, Video preview",1000,0,1.85,648,763,115,0,1,1,,,https://www.fortinet.com/products/ethernet-switches,,https://www.fortinet.com/products/ethernet-switches,2025-01-27 0:01:24,2025-07-23 6:57:19,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Gain,fortilink,US,"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",90,0,7,0,94,94,0,3,1,2,,https://docs.fortinet.com/document/fortigate/6.4.0/ports-and-protocols/899996/fortilink,AI Overview,https://docs.fortinet.com/document/fortigate/6.4.0/ports-and-protocols/899996/fortilink,2025-01-06 15:04:06,2025-07-18 2:48:13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Gain,fortinet fortigate,US,"Sitelinks, People also ask, Shopping, Thumbnail, Video preview",700,40,2.91,476,570,94,0,1,1,,,https://www.fortinet.com/products/next-generation-firewall,,https://www.fortinet.com/products/next-generation-firewall,2025-01-24 15:11:41,2025-07-25 17:37:52,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Gain,fortinet switch,US,"Sitelinks, People also ask, Shopping, Thumbnail, Top stories, Discussions and forums, Video preview",500,2,1.38,65,157,92,0,1,1,,,https://www.fortinet.com/products/ethernet-switches,,https://www.fortinet.com/products/ethernet-switches,2025-01-26 12:33:19,2025-07-25 22:56:47,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
